date,ticker,name,market,close,change_rate,volume,trading_value
2026-08-06,035420,NAVER,KOSPI,226000.0,-1.3100436681222707,952557,215277882000
2026-08-06,207940,삼성바이오로직스,KOSPI,1514000.0,1.5425888665325285,48730,73777220000
2026-08-06,005380,현대차,KOSPI,400000.0,-1.1124845488257107,527513,211005200000
2026-08-07,005930,삼성전자,KOSPI,232750.0,0.9761388286334056,11711677,2725892821750
2026-08-07,000660,SK하이닉스,KOSPI,1435000.0,-4.013377926421405,3098223,4445950005000
2026-08-07,035420,NAVER,KOSPI,211000.0,-6.637168141592921,1126307,237650777000
2026-08-07,207940,삼성바이오로직스,KOSPI,1523000.0,0.59445178335535,21744,33116112000
2026-08-07,005380,현대차,KOSPI,392000.0,-2.0,282292,110658464000
2026-08-07,005930,삼성전자,KOSPI,233500.0,1.3015184381778742,15791597,3687337899500
2026-08-07,000660,SK하이닉스,KOSPI,1421000.0,-4.949832775919733,3815814,5422271694000
2026-08-07,035420,NAVER,KOSPI,208750.0,-7.6327433628318575,1444357,301509523750
2026-08-07,207940,삼성바이오로직스,KOSPI,1548000.0,2.2457067371202113,35229,54534492000
2026-08-07,005380,현대차,KOSPI,393000.0,-1.7500000000000002,342389,134558877000
2026-08-07,005930,삼성전자,KOSPI,231000.0,0.21691973969631237,20424708,4718107548000
2026-08-07,000660,SK하이닉스,KOSPI,1422000.0,-4.882943143812709,4796937,6821244414000
2026-08-07,035420,NAVER,KOSPI,210000.0,-7.079646017699115,1755934,368746140000
2026-08-07,207940,삼성바이오로직스,KOSPI,1556000.0,2.7741083223249667,51786,80579016000
2026-08-07,005380,현대차,KOSPI,395500.0,-1.125,415672,164398276000
2026-08-10,005930,삼성전자,KOSPI,229000.0,-0.8658008658008658,7797694,1785671926000
2026-08-10,000660,SK하이닉스,KOSPI,1428000.0,0.42194092827004215,1645695,2350052460000
2026-08-10,035420,NAVER,KOSPI,207000.0,-1.4285714285714286,356927,73883889000
2026-08-10,207940,삼성바이오로직스,KOSPI,1563000.0,0.4498714652956298,15271,23868573000
2026-08-10,005380,현대차,KOSPI,402500.0,1.7699115044247788,200018,80507245000
2026-08-10,005930,삼성전자,KOSPI,228750.0,-0.974025974025974,11694876,2675202885000
2026-08-10,000660,SK하이닉스,KOSPI,1401000.0,-1.4767932489451476,2363352,3311056152000
2026-08-10,035420,NAVER,KOSPI,207000.0,-1.4285714285714286,541896,112172472000
2026-08-10,207940,삼성바이오로직스,KOSPI,1562000.0,0.3856041131105398,29208,45622896000
2026-08-10,005380,현대차,KOSPI,400000.0,1.1378002528445006,291905,116762000000
2026-08-10,005930,삼성전자,KOSPI,230000.0,-0.4329004329004329,16324865,3754718950000
2026-08-10,000660,SK하이닉스,KOSPI,1420000.0,-0.14064697609001406,3289681,4671347020000
2026-08-10,035420,NAVER,KOSPI,211500.0,0.7142857142857143,733171,155065666500
2026-08-10,207940,삼성바이오로직스,KOSPI,1569000.0,0.8354755784061696,42211,66229059000
2026-08-10,005380,현대차,KOSPI,408000.0,3.16055625790139,458584,187102272000
2026-08-11,005930,삼성전자,KOSPI,236750.0,2.9347826086956523,11546487,2733630797250
2026-08-11,000660,SK하이닉스,KOSPI,1405000.0,-1.056338028169014,1826385,2566070925000
2026-08-11,035420,NAVER,KOSPI,213250.0,0.8274231678486997,325008,69307956000
2026-08-11,207940,삼성바이오로직스,KOSPI,1618000.0,3.123008285532186,31349,50722682000
2026-08-11,005380,현대차,KOSPI,403500.0,-1.1029411764705883,158904,64117764000
2026-08-11,005930,삼성전자,KOSPI,242000.0,5.217391304347826,17179842,4157521764000
2026-08-11,000660,SK하이닉스,KOSPI,1446000.0,1.8309859154929577,2765182,3998453172000
2026-08-11,035420,NAVER,KOSPI,213000.0,0.7092198581560284,458886,97742718000
2026-08-11,207940,삼성바이오로직스,KOSPI,1598000.0,1.8483110261312936,46615,74490770000
2026-08-11,005380,현대차,KOSPI,404000.0,-0.9803921568627451,226793,91624372000
2026-08-11,005930,삼성전자,KOSPI,239500.0,4.130434782608695,23197807,5555874776500
2026-08-11,000660,SK하이닉스,KOSPI,1425000.0,0.35211267605633806,3682655,5247783375000
2026-08-11,035420,NAVER,KOSPI,214000.0,1.1820330969267139,646782,138411348000
2026-08-11,207940,삼성바이오로직스,KOSPI,1609000.0,2.5493945188017846,61758,99368622000
2026-08-11,005380,현대차,KOSPI,403000.0,-1.2254901960784315,327064,131806792000
2026-08-12,005930,삼성전자,KOSPI,256500.0,7.09812108559499,13920774,3570678531000
2026-08-12,000660,SK하이닉스,KOSPI,1509000.0,5.894736842105263,1970112,2972899008000
2026-08-12,035420,NAVER,KOSPI,218000.0,1.8691588785046727,479834,104603812000
2026-08-12,207940,삼성바이오로직스,KOSPI,1572000.0,-2.2995649471721564,28399,44643228000
2026-08-12,005380,현대차,KOSPI,412000.0,2.2332506203473943,209183,86183396000
2026-08-12,005930,삼성전자,KOSPI,255250.0,6.576200417536534,21414583,5466072310750
2026-08-12,000660,SK하이닉스,KOSPI,1500000.0,5.263157894736842,3239774,4859661000000
2026-08-12,035420,NAVER,KOSPI,216500.0,1.1682242990654206,627868,135933422000
2026-08-12,207940,삼성바이오로직스,KOSPI,1559000.0,-3.107520198881293,54477,84929643000
2026-08-12,005380,현대차,KOSPI,408000.0,1.240694789081886,319252,130254816000
2026-08-12,005930,삼성전자,KOSPI,255500.0,6.6805845511482245,27102479,6924683384500
2026-08-12,000660,SK하이닉스,KOSPI,1504000.0,5.543859649122807,4204301,6323268704000
2026-08-12,035420,NAVER,KOSPI,215500.0,0.7009345794392523,833014,179514517000
2026-08-12,207940,삼성바이오로직스,KOSPI,1549000.0,-3.7290242386575514,69250,107268250000
2026-08-12,005380,현대차,KOSPI,409500.0,1.6129032258064515,411565,168535867500
2026-08-13,005930,삼성전자,KOSPI,269000.0,5.283757338551859,11556544,3108710336000
